//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 4-4-2024
//--  Time: 16:0
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -10.0(C), 	Resistance 1: 9300.0 Ohms 
//--    Temperature2: 20.0(C), 	Resistance 2: 2500.0 Ohms 
//--    Temperature3: 80.0(C), 	Resistance 3: 335.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	278.64	2786 	0.156
2	221.54	2215 	0.313
3	190.85	1909 	0.469
4	169.90	1699 	0.625
5	153.93	1539 	0.781
6	140.96	1410 	0.938
7	129.95	1299 	1.094
8	120.33	1203 	1.250
9	111.71	1117 	1.406
10	103.86	1039 	1.563
11	96.59	966 	1.719
12	89.77	898 	1.875
13	83.31	833 	2.031
14	77.11	771 	2.188
15	71.12	711 	2.344
16	65.27	653 	2.500
17	59.52	595 	2.656
18	53.80	538 	2.813
19	48.08	481 	2.969
20	42.29	423 	3.125
21	36.39	364 	3.281
22	30.31	303 	3.438
23	23.95	239 	3.594
24	17.21	172 	3.750
25	9.95	99 	3.906
26	1.92	19 	4.063
27	-7.22	-72 	4.219
28	-18.15	-181 	4.375
29	-32.29	-323 	4.531
30	180.00	1800 	4.688
31	180.00	1800 	4.844
